iter	Passed	Remaining
901	10424	1132
902	10437	1121
903	10449	1109
904	10464	1098
905	10478	1087
906	10493	1075
907	10506	1064
908	10518	1053
909	10532	1041
910	10550	1030
911	10563	1019
912	10576	1007
913	10590	996
914	10604	985
915	10618	973
916	10630	962
917	10643	950
918	10656	939
919	10669	927
920	10679	916
921	10691	904
922	10703	892
923	10716	881
924	10726	869
925	10738	858
926	10749	846
927	10761	834
928	10774	823
929	10788	812
930	10802	800
931	10814	789
932	10826	777
933	10838	765
934	10851	754
935	10862	742
936	10873	731
937	10885	719
938	10896	707
939	10906	696
940	10918	684
941	10930	673
942	10941	661
943	10953	649
944	10964	638
945	10976	626
946	10987	614
947	10999	603
948	11010	591
949	11021	580
950	11032	568
951	11043	556
952	11054	545
953	11066	533
954	11078	522
955	11089	510
956	11100	498
957	11112	487
958	11122	475
959	11134	463
960	11146	452
961	11157	440
962	11168	429
963	11180	417
964	11191	405
965	11202	394
966	11218	382
967	11231	371
968	11245	359
969	11260	348
970	11271	336
971	11283	325
972	11295	313
973	11306	301
974	11316	290
975	11327	278
976	11338	266
977	11347	255
978	11358	243
979	11368	232
980	11378	220
981	11390	208
982	11401	197
983	11413	185
984	11424	173
985	11436	162
986	11446	150
987	11458	139
988	11469	127
989	11480	115
990	11491	104
991	11502	92
992	11513	81
993	11524	69
994	11535	57
995	11547	46
996	11558	34
997	11569	23
998	11579	11
999	11591	0
